Nazwa klubu,Miasto,Kraj,Rok założenia
RC Lens,Lens,Francja,
RC Strasbourg,Strasburg,Francja,
Reading,Reading,Anglia,
Real Madryt,Madryt,Hiszpania,
Real Oviedo,Oviedo,Hiszpania,
Real Salt Lake,Salt Lake City,Stany Zjednoczone,
Real Sociedad,San Sebastian,Hiszpania,
RFS Riga,Ryga,Łotwa,
Riga FC,Ryga,Łotwa,
Rosenborg,Trondheim,Norwegia,
Rotherham United,Rotherham,Anglia,
Royal Antwerp,Antwerpia,Belgia,
Royale Union SG,Bruksela,Belgia,
Rubin Kazań,Kazań,Rosja,
Ruch Chorzów,Chorzów,Polska,
Sagan Tosu,Tosu,Japonia,
Saint-Etienne,Saint-Etienne,Francja,
Salernitana,Salerno,Włochy,
Sampdoria,Genua,Włochy,
San Giovanni,Borgo Maggiore,San Marino,
Sandefjord Fotball,Sandefjord,Norwegia,
Sanliurfaspor,Sanliurfa,Turcja,
Sassuolo,Sassuolo,Włochy,
SC Braga,Braga,Portugalia,
SC Cambuur,Leeuwarden,Holandia,
SC Freiburg,Fryburg,Niemcy,
Schalke,Gelsenkirchen,Niemcy,
SD Formentera,Formentera,Hiszpania,
SD Tarazona,Tarazona,Hiszpania,
Sepsi,Sfantu Gheorghe,Rumunia,
Sevilla FC,Sewilla,Hiszpania,
Shamrock Rovers,Dublin,Irlandia,
Sheffield United,Sheffield,Anglia,
Sheffield Wednesday,Sheffield,Anglia,
Sheriff Tyraspol,Tyraspol,Mołdawia,
Sigma Ołomuniec,Ołomuniec,Czechy,
Silkeborg IF,Silkeborg,Dania,
Slaven Belupo,Koprivnica,Chorwacja,
Slavia Praga,Praga,Czechy,
Sławija Mozyrz,Mozyrz,Białoruś,
Sliema Wanderers,Sliema,Malta,
Sligo Rovers,Sligo,Irlandia,
Slovan Liberec,Liberec,Czechy,
Southampton,Southampton,Anglia,
SPAL,Ferrara,Włochy,
Sparta Praga,Praga,Czechy,
Spartak Moskwa,Moskwa,Rosja,
Spezia Calcio,La Spezia,Włochy,
Sporting Lizbona,Lizbona,Portugalia,
SS Murata,Murata,San Marino,
St. Pauli,Hamburg,Niemcy,
Stade de Reims,Reims,Francja,
Stade Rennais,Rennes,Francja,
Stal Mielec,Mielec,Polska,
Stellenbosch FC,Stellenbosch,Republika Południowej Afryki,
Stoke City,Stoke-on-Trent,Anglia,
Sturm Graz,Graz,Austria,
Suduva,Mariampol,Litwa,
Sunderland,Sunderland,Anglia,
SV Darmstadt 98,Darmstadt,Niemcy,
SV Sandhausen,Sandhausen,Niemcy,
Swansea,Swansea,Walia,
Swindon Town,Swindon,Anglia,
Szachtar Donieck,Donieck,Ukraina,
Tallinna Kalev,Tallinn,Estonia,
Tampines Rovers,Tampines,Singapur,
Torino,Turyn,Włochy,
Tottenham,Londyn,Anglia,
Trabzonspor,Trabzon,Turcja,
Tre Fiori,Fiorentino,San Marino,
Triestina Calcio,Triest,Włochy,
Tropical Coriano,Coriano,Włochy,
TSC Backa Topola,Backa Topola,Serbia,
TSG Hoffenheim,Hoffenheim,Niemcy,
TSV 1860 Monachium,Monachium,Niemcy,
Turan Tovuz,Tovuz,Azerbejdżan,
Twente,Enschede,Holandia,
Udinese Calcio,Udine,Włochy,
UE Castelldefels,Castelldefels,Hiszpania,
UE Engordany,Engordany,Andora,
UE Sant Andreu,Barcelona,Hiszpania,
UE Santa Coloma,Santa Coloma,Andora,
Union Berlin,Berlin,Niemcy,
Unirea Dej,Dej,Rumunia,
Unirea Slobozia,Slobozia,Rumunia,
Universidad de Chile,Santiago de Chile,Chile,
Universitatea Cluj,Kluż,Rumunia,
Ural Jekaterynburg,Jekaterynburg,Rosja,
Valletta FC,Valletta,Malta,
Valmiera FC,Valmiera,Łotwa,
Vancouver Whitecaps,Vancouver,Kanada,
Vejle BK,Vejle,Dania,
Venezia,Wenecja,Włochy,
Verona,Werona,Włochy,
Vfb Stuttgart,Stuttgart,Niemcy,
Vfl Wolfsburg,Wolfsburg,Niemcy,
Videoton Fehervar,Szekesfehervar,Węgry,
Vikingur Gota,Leirvik,Wyspy Owcze,
Vikingur Reykjavík,Rejkiawik,Islandia,
Viktoria Pilzno,Pilzno,Czechy,
Villareal,Vila-real,Hiszpania,
Virtus Entella,Chiavari,Włochy,
Vitesse,Arnhem,Holandia,
Watford,Watford,Anglia,
Wellington Phoenix,WellingtoN,Nowa Zelandia,
Werder Brema,Brema,Niemcy,
Weres Równe,Równe,Ukraina,
West Bromwich Albion,West Bromwich,Anglia,
West Ham,Londyn,Anglia,
Widzew,Łódź,Polska,
Wigan Athletic,Wigan,Anglia,
Wisła Kraków,Kraków,Polska,
Wolverhampton,Wolverhampton,Anglia,
Worskła Połtawa,Połtawa,Ukraina,
Zagłębie Lubin,Lubin,Polska,
Żalgiris Kowno,Kowno,Litwa,
Żalgiris Wilno,Wilno,Litwa,
Zemplin Michalovce,Michalovce,Słowacja,
Zenit,Petersburg,Rosja,
Zimbru Kiszyniów,Kiszyniów,Mołdawia,
Zulte Waregem,Waregem,Belgia,
